ID,Renta_secc,n,distance,feature_x,feature_y,nearest_x,nearest_y
"28045","21204","1",105.417101690521093,436936.543306378880516,4501721.389640382491052,437041.653055111702997,4501729.433647477999330
"28046","13801","1",1374.566018903747818,412788.075633612053934,4505291.052246257662773,411843.866162733465899,4506290.001802255399525
"28047","15970","1",291.796755286512507,416420.629057036479935,4499399.032263697125018,416134.272380085662007,4499455.114346053451300
"2804901","11008","1",82.551975978392861,451800.042048715637065,4474930.676556908525527,451814.470412974420469,4475011.957864985801280
"2804902","11445","1",257.523082402120622,453326.645763017120771,4474339.232467343099415,453570.240587964362931,4474422.777061595581472
"2804903","14775","1",160.458894359733051,454253.794392343144864,4475602.935508435592055,454109.633829425787553,4475673.396766432560980
"2804904","10763","1",0.329311624841432,453192.900391334493179,4476250.565983530133963,453192.830314563820139,4476250.244214369915426
"28050","12501","1",526.219177596904728,428743.518969431810547,4449291.250278216786683,428394.311131911934353,4448897.600041222758591
"28052","11401","1",1421.723287852820704,459266.229202171904035,4445889.237680447287858,459708.318845712055918,4447240.479277756065130
"28053","15140","1",253.422732209742662,462332.498876017169096,4489976.745224598795176,462567.325393934093881,4490072.032095067203045
"2805401","11983","1",770.650068085291764,408775.342572726309299,4494208.852513038553298,408037.242243625805713,4493987.246033842675388
"2805402","15019","1",1587.361870887579471,406674.695431314059533,4492928.241537642665207,407096.176894568314310,4491397.858877887018025
28057_AM,"12166","1",2941.645684258667643,465268.870926051924471,4498477.281555969268084,465170.112373490992468,4501417.268984516151249
"2805801","10909","1",91.055471315590410,433205.965537882875651,4460743.923299225978553,433158.679539654694963,4460666.108562652021646
"2805802","10641","1",294.685161450215503,434561.513835835969076,4459565.607976685278118,434845.432113291870337,4459486.679172656498849
"2805803","11366","1",37.366087466041904,432546.008773739740718,4460185.714587934315205,432520.245934120961465,4460212.779335989616811
"2805804","8131","1",940.623349917588484,433855.351490193512291,4457491.896147915162146,434792.729191738821100,4457413.823546729981899
"2805805","10438","1",70.596751885753605,432109.249449181952514,4460250.854102930054069,432150.225269795337226,4460308.342219109646976
"2805806","10531","1",198.480761956163150,430176.734263234771788,4462524.903496070764959,430372.934187803941313,4462494.900121831335127
"2805807","14677","1",283.258039178724914,430514.760583919938654,4460351.070833718404174,430231.596903802943416,4460358.381580737419426
"2805808","15000","1",403.695847256362470,430380.991871989739593,4459304.908990637399256,429977.607367012125906,4459289.057232500053942
"2805809","12025","1",177.895010027421165,428817.922020784055348,4461077.526010228320956,428652.870156199904159,4461143.892542380839586
"28059","11004","1",1137.915410732672626,455722.501443190732971,4499175.228852964006364,456167.265050740388688,4500222.624105665832758
28060_AM,"10361","1",4348.975550389157434,486593.079931065789424,4445340.171839370392263,490732.929866822785698,4444007.793947293423116
"28061","11722","1",958.362441533496622,416549.265363773622084,4492037.750712594017386,415705.966082081024069,4492493.058181057684124
"2806501","10407","1",134.971106106774670,438484.046388322254643,4459809.150135452859104,438519.015198733832221,4459678.787634011358023
"2806502","15275","1",80.370168562339302,438661.151288839173503,4463587.494243472814560,438676.651800625084434,4463508.632984738796949
"2806503","16953","1",377.774273755468244,436764.554997500963509,4461845.323934567160904,436702.222506712772883,4461472.727554413489997
"2806504","14486","1",692.563543431406515,444892.507228490314446,4461280.053702439181507,444245.008320004213601,4461034.311102958396077
"28066","12415","1",907.577658559015845,428279.173999590158928,4452288.542802351526916,427412.523807393503375,4452019.071745128370821
28067_AM,"13683","1",1870.203830990159759,442363.577266879554372,4514192.951580357737839,442444.373026369023137,4512324.493816666305065
"28068","13548","1",1000.100975678205259,406186.930338021367788,4503529.644002331420779,407143.566493800492026,4503821.276008477434516
"28072","15138","1",1108.899361413847146,424432.170912946981844,4496502.262827327474952,425539.591834579943679,4496559.505259784869850
"28073","11192","1",1174.428582578917030,429743.016901538358070,4455999.761418719775975,430906.436350426229183,4456160.191096547059715
"2807401","13505","1",212.118929278334093,433273.423891630372964,4463143.641289719380438,433178.832477162417490,4462953.781066220253706
"2807402","10218","1",41.010601689299477,435388.064266317174770,4464784.107864193618298,435409.006761275348254,4464819.368059256114066
"2807403","18409","1",637.025916008240642,433768.502988855121657,4466319.576102781109512,434226.591779740934726,4465876.906161028891802
"2807404","11614","1",39.201605883459081,436105.859765077766497,4465099.884680311195552,436067.936566406453494,4465089.955082817934453
"2807405","15302","1",298.326929603068038,437207.074316211335827,4466199.816843618638813,436984.366298252192792,4466398.311417003162205
"2807406","11245","1",273.786640610474421,434537.425447616900783,4467526.294767159037292,434806.015371813904494,4467473.204493128694594
"2807407","13505","1",310.204882835697333,433049.737275995197706,4463235.847544857300818,433178.832477162417490,4462953.781066220253706
"28075","13239","1",1751.187023287394595,464544.795012115791906,4470286.082926910370588,462806.299005116219632,4470496.529176999814808
"2807901","20203","1",60.061812038425302,440166.308935480890796,4474317.173092451877892,440140.095739047857933,4474371.212796356528997
"2807902","16961","1",29.642262992057603,440883.786835187755059,4472179.085486433468759,440854.184367547219153,4472180.620955379679799
"2807903","26576","1",75.165943511381684,442607.207753917085938,4473637.702460435219109,442677.617570079513825,4473611.389405653811991
"2807904","28654","1",79.985354915758435,442847.894837087544147,4475723.105556376278400,442924.210475115571171,4475747.055094855837524
"2807905","22376","1",72.339797715197747,442501.287857998220716,4478757.899682033807039,442558.705662776774261,4478713.896931802853942
"2807906","12686","1",43.506160094611324,440651.949768988648430,4479121.916689816862345,440651.373657821794041,4479078.414344338700175
"2807907","24194","1",79.046558471986287,440332.251833995338529,4476561.489142795093358,440406.394565742579289,4476588.897421386092901
"2807908","16924","1",2662.390456227750747,436186.976016994856764,4488499.209635372273624,434025.347680475388188,4486944.961947206407785
"2807909","22290","1",1331.957833371028300,435785.641595882188994,4477473.066308720037341,434494.319885022880044,4477799.562723618932068
"2807910","11584","1",155.170364721351945,433911.780010396149009,4470811.279912048950791,433890.155871001654305,4470657.623676629737020
"2807911","8252","1",235.772216190412365,437428.861023476405535,4470066.807396005839109,437622.722584110160824,4469932.620089467614889
"2807912","9409","1",307.872455702094555,440323.926770833961200,4469722.460327283479273,440016.490563538798597,4469706.076572402380407
"2807913","10770","1",188.154030385142278,443990.305305211921223,4470537.936187884770334,444116.625956021482125,4470677.381633594632149
"2807914","13660","1",86.742685441269046,445577.042848912009504,4473086.300109867006540,445662.706974701897707,4473072.663723607547581
"2807915","14420","1",167.429459520656252,444877.962886871886440,4476716.040238431654871,444973.147713745012879,4476578.299639302305877
"2807916","21441","1",75.396922548990105,445947.098198416584637,4481453.036015912890434,446015.990017175790854,4481483.672811402939260
"2807917","7631","1",348.107905666831357,440967.574901745130774,4466008.248472295701504,441314.628401434514672,4466035.322118911892176
"2807918","13845","1",1681.037468045064998,447687.178087298350874,4466779.120079084299505,448135.307148563442752,4468399.326026925817132
"2807919","5883","1",985.816608776634212,451379.647869325999636,4471598.529372196644545,451180.673386259819381,4470633.001774854958057
"2807920","19303","1",567.133739328933075,449224.425930483615957,4476175.104149924591184,448752.053765380696859,4475861.248743851669133
"2807921","12532","1",297.830251478957962,451299.075591609056573,4480720.373726783320308,451169.097564809082542,4480452.402513319626451
"2808001","18907","1",920.176334942289373,422985.135327428346500,4480449.776817023754120,422468.138917765230872,4479688.567778859287500
"2808002","30714","1",277.360500071596732,427182.235727312916424,4479418.117868797853589,426932.460940671502613,4479297.530129129998386
"28082","16787","1",1827.670035208440822,425848.026870678120758,4511307.818993365392089,424203.308279060700443,4510510.775386034511030
"28083","14641","1",543.789393333926569,472648.384922802273650,4489640.857810582034290,472104.955576171167195,4489660.642893916927278
"28084","13385","1",714.313592394704528,459683.722876950749196,4472288.036793144419789,459022.332825628109276,4472018.208869661204517
"28085","13156","1",2168.789143928469912,434394.444662674213760,4516494.565291723236442,432780.402269301179331,4517943.189985429868102
"28086","9747","1",716.692893424653903,451710.712638932105619,4505675.051919056102633,452090.446518478973303,4505067.227204019203782
"28087","13610","1",600.300330985596929,407671.778370523243211,4508357.822752731852233,407149.144556654326152,4508653.143568087369204
"28089","12968","1",1351.114971789403853,425191.830132996488828,4456751.523126821033657,425253.933487650530878,4458101.210068424232304
"28090","16771","1",1671.865116241273199,419957.343700327503029,4501964.978834168985486,419621.101634671387728,4503602.682787937112153
"2809101","10545","1",1252.427813599697174,464326.681813842500560,4453220.424952221103013,464444.112729575193953,4451973.514607285149395
"2809102","11100","1",998.804556860864864,460381.432557403924875,4453656.676991350948811,460022.700639878399670,4454588.836824295111001
"2809201","15864","1",373.836384422806248,422496.377802296134178,4463858.009692387655377,422694.100951655709650,4464175.278030747547746
"2809202","14633","1",546.262451918752390,425578.982721340609714,4465829.371225637383759,425288.671528965467587,4466292.104494333267212
"2809203","10498","1",93.432995304327463,427595.030488768534269,4463965.789254960604012,427687.852140579547267,4463976.460035935975611
"2809204",,"1",376.928345945324338,425850.655519907770213,4461766.202573862858117,426047.326203948119655,4462087.754467056132853
"28093","16005","1",0.287864552129016,415148.689744821691420,4511388.904510624706745,415148.974065028131008,4511388.949544174596667
"28095","10673","1",0.212727262735703,404164.842998670472298,4477220.918442789465189,404164.647494006960187,4477220.834592835046351
"28096","12113","1",138.843607750629957,413797.345659895509016,4460294.374324785545468,413665.211199758807197,4460337.012709576636553
28099_AM,"10661","1",1795.976924129728104,393836.598775506776292,4470578.406506868079305,392108.446140054147691,4471067.304840455763042
"28100","11189","1",625.108748144028823,478493.779526145604905,4469415.454528797417879,478682.278352837485727,4470011.465551633387804
"28104","13875","1",1024.689963397887595,455554.843024319096003,4484977.748993366025388,454870.774896800168790,4484214.833324369043112
"28106","9469","1",98.074573659688454,434754.972545478900429,4453640.812249941751361,434797.318361433688551,4453552.350654491223395
"28108","14103","1",454.733446059097218,447234.736071298422758,4510294.551371079869568,446898.065451207978185,4509988.879323727451265
"28109","10060","1",0.273927139078384,387238.885543180163950,4468553.789401335641742,387238.955855842796154,4468553.524652007035911
"28110","10494","1",0.367476935260286,469987.401836071512662,4452947.061319075524807,469987.119260358740576,4452946.826392992399633
"2811301","12229","1",1269.473152406823147,439033.464385836210568,4454218.243718652985990,440295.886710097023752,4454351.854945313185453
"2811302","16246","1",1053.487992242827659,443513.984231214039028,4456192.827396254055202,444263.844945409335196,4455452.863978843204677
"2811501",,"1",169.926904039148269,430470.798262742988300,4475312.206666649319232,430599.343016445403919,4475201.069818520918489
"2811502",,"1",142.589476454727503,432760.078413683921099,4476965.308744539506733,432902.295992697996553,4476955.017048128880560
"28119","11237","1",682.230307831139839,410001.102875782060437,4474739.852065799757838,409318.935194290068466,4474749.095834036357701
"28123",,"1",592.842810748486841,455127.260902066424023,4465614.994720632210374,455574.503729780321009,4466004.143087344244123
"28125","10847","1",2826.729278304741456,394723.449176734779030,4481822.107627574354410,393100.210581235412974,4479507.913410377688706
"28127","20101","1",387.382056985447605,424442.592285028367769,4486055.726396919228137,424531.369755153951701,4485678.654230255633593
"28129","16361","1",2073.371996601321371,446585.394732727902010,4504092.479295672848821,446259.488578630262055,4502044.881528773345053
